Name,Year of Incorporation,Employee Range,Investment Stage,Sector Labels,Tags,Website,Notes
SERL.IO PTE. LTD.,2018,1 - 10,Pre-seed,Media; Education; AR/VR,Gamification; Augmented Reality; mixed reality; hololens; immersive technology; Education; Edtech,http://www.serl.io,
YoRipe,2018,1 - 10,Pre-seed,Media; Food Science and Technology; E-Commerce,Data Analysis; Application Development; Recomendation Engine,https://www.yoripe.com/,
Transcelestial Technologies,2016,,Series A,Infocomm Tech,,https://transcelestial.com/,
MYBUSINESS IN ASIA PTE LTD,2018,1 - 10,Pre-seed,Fintech; Enterprise Solutions; SaaS; Cloud,accounting; Bookkeeping; Cloud Accounting; Cloud Payroll; Compliance; Cloud Integrators; Advisors; outsourcing,https://mybusiness-asia.com/,
Fairmarch Pte. Ltd.,2018,,Pre-seed,E-Commerce,,https://www.fairmarch.com,
Blockchain Worx,2017,1 - 10,Seed,Fintech; Enterprise Solutions; Blockchain,Blockchain; Capital Markets; Digital Assets; AML; Exchange; Tokenized securities; Digital banking; Virtual Banking; Platform,https://www.blockchainworx.com/,
Peoplewave,2016,,Pre-seed,Enterprise Solutions,,https://peoplewave.co/,
BITS LEARNING SOLUTIONS PTE. LTD.,2018,,Pre-seed,,,https://bitslearning.org,
R2U COMPANY PTE. LTD.,2019,1 - 10,Pre-seed,Retail; E-Commerce; Food & Beverage; Supply Chain & Logistics; Big Data,food waste; Supply Chain; social commercial,https://www.r2u.sg,
VECTOR GEMS TECH PTE. LTD.,2018,1 - 10,Pre-seed,Gaming; Retail; Lifestyle,licence game IP to deisign and supply game-feature fashion jewelry,https://vectorgems.com,
FPL ONLINE PTE. LTD.,2017,1 - 10,Pre-seed,Fintech,INSURANCE; FINANCIAL PLANNERS; REAL ESTATE AGENT; WEALTH MANAGER; WILL WRITERS; DOCTOR; ACTUARY; FAMILY OFFICE; LAWYER; ACCOUNTANT,https://www.fpl-online.com,
RadX Group,2019,11 - 50,Pre-seed,Infotech; Enterprise Solutions; Blockchain; SaaS; AR/VR,webdevelopment; appdevelopment ; blockchaindevelopment; enterprisesolution; SaaS; Inventory Management; Application Development; Systems Development; AR/VR,https://www.radx.sg,
GENESIS RAY ENERGY PTE. LTD.,2017,11 - 50,Seed,Cleantech; Data Analysis; Big Data,Complexity Simplified ,https://www.genesisray.com,
HODLNAUT PTE. LTD.,2019,1 - 10,Pre-seed,Fintech; Blockchain,Bitcoin; HODL; Deposit; Saving; Passive Investing,https://hodlnaut.com,
HEARTH&H PTE. LTD.,2024,,Pre-seed,,,,no webpage found
HARE FITNESS GROUP PTE. LTD.,2023,1 - 10,Pre-seed,,Foodtech X Fitness Goals; Personalised Fitness nutrition ,https://harefitness.sg/,
EASY-PEASY.AI PTE. LTD.,2023,1 - 10,Pre-seed,Education; Media; AI; E-Commerce; SaaS,#AllInOneAI  #BusinessEfficiency  #AIChatbots  #ImageGeneration  #AudioTranscription  #VoiceCloning  #CustomAIModels  #MultilingualSupport  #AutomatedCustomerSupport  #CreativeDesignAI,https://easy-peasy.ai/,
SGNAPLUS PTE. LTD.,2021,1 - 10,Pre-seed,Marine & Offshore; Maritime; Urban Solutions; Cleantech,Energy Storage; Renewable Energy; Green Building Technology,https://www.sgnaplus.com/,
MAPSEA PTE. LTD.,2024,11 - 50,Pre-seed,Transport; AI; Marine & Offshore; Supply Chain & Logistics; Big Data,autonomous ship; voyage optimization ; Navigation; Marine,https://service.mapsea.io/en,
NORTH STAR LEADERSHIP PTE. LTD.,2024,1 - 10,Pre-seed,,,http://nsleadership.com,
DALTECH PTE. LTD.,2023,1 - 10,Pre-seed,Events; Lifestyle,,https://www.griddygrid.com/,
THEMAPLEPAW PTE. LTD.,2024,1 - 10,Pre-seed,E-Commerce; Healthcare Services; Digital Health; IoT; Big Data,Application Development; Primary Care; E-Commerce; Social Networking,https://www.themaplepaw.com/,
CLOUD MIND SOLUTIONS PTE. LTD.,2023,1 - 10,Pre-seed,Media; Enterprise Solutions; Infocomm Tech; Cloud; Hardware,"vendor support, hardware, software, cloud solutions, creative media",https://www.cloudmind.sg,
ROUGE COLLECTIVE PTE. LTD.,2024,1 - 10,Pre-seed,Education; Entertainment; AR/VR,"Animation, education, entertainment",https://withrouge.com,
OPEN RESOURCING PTE. LTD.,2024,1 - 10,Pre-seed,Retail; E-Commerce; Lifestyle,ecommerce; Shopify; wed development; nodejs; fullstack; php; woocommerce; html5; css; Consultancy,https://www.openresourcing.sg/,
LEGACY TECHNOLOGIES PTE. LTD.,2023,1 - 10,Pre-seed,AI; Entertainment,Systems Development,https://memorylane.co,
ADVANCED BIOMEDICAL PTE. LTD.,2024,1 - 10,Pre-seed,Biotech; Pharmaceutical; Healthcare; Nanotechnology,"Gene Therapy, Deep Tech, Cardiology, Nano Medicine, Startup, Singapore SME",https://www.advancedbiomedical.com,
TO BE ONE PTE. LTD.,2024,1 - 10,Pre-seed,Events; E-Commerce; Lifestyle,,https://www.2beone.biz/,
ALLUCI STUDIO PTE. LTD.,2024,1 - 10,Pre-seed,Media; Gaming; AI; Entertainment; AR/VR,"AI, AITuber, VR, Entertainment, AI company, AI chat",https://allucistudio.live/,
HYDROGEN INNOVATION PTE. LTD.,2024,1 - 10,Pre-seed,Cleantech; Manufacturing & Engineering; Hardware,Renewable Energy; Energy Storage,https://www.hyd-gen.com/,
EMEREG PTE. LTD.,2023,1 - 10,Pre-seed,,,https://emereg.com/,
KOOKREE PTE. LTD.,2024,1 - 10,Pre-seed,AI,,http://www.kookree.ai,
ONEREACH SINGAPORE PRIVATE LIMITED,2024,1 - 10,Pre-seed,AI; E-Commerce; Entertainment; AR/VR,E-Commerce; AR/VR; AI,https://www.linkedin.com/company/105003976/admin/dashboard/,
LOKUM PTE. LTD.,2024,1 - 10,Pre-seed,Education; AI, Coaching; E-Learning,https://www.lokum.sg,
ALPHA X TECHNOLOGY PTE. LTD.,2024,1 - 10,Pre-seed,Semiconductor; Data Analysis,Manufacturing; AI; Automation; Innovation; oht; stocker; EAS; FDC; YMS; RTD,https://www.alphaxtec.com,
TALENT HERO VENTURES PTE. LTD.,2019,51 - 100,Pre-seed,,,https://talenthero.co/,
RAINMARKET PTE. LTD.,2024,1 - 10,Pre-seed,Infocomm Tech; Others; SaaS; Data Analysis,Market Data; Financial Data; Data Analytics; Extraction Technology,https://rainmarket.com/,
JE CREW PTE. LTD.,2024,1 - 10,Pre-seed,Others,Human Resources,https://www.jecrewsg.com/,
BLUE STAR TECH PTE. LTD.,2024,1 - 10,Pre-seed,Cleantech,Emission Control; Eco Monitoring Technologies,http://www.sgbluestar.com,
ACQUAINTANCE PTE. LTD.,2023,11 - 50,Pre-seed,Retail; Transport; E-Commerce; Telecom; SaaS,E-Commerce; SaaS; Human Resources; Recycling; Customer Relationship Management; auto planning; Auto route management; Inventory Management; Data Warehouse; AI,https://www.logflows.com,
REVTRADE PTE. LTD.,2024,1 - 10,Pre-seed,AI; Fintech,FinTech; loans; AI,http://www.revtrade.tech,
J&A FORENSICS AND INSPECTIONS PTE. LTD.,2024,1 - 10,Pre-seed,Real Estate; Others,inspection,https://www.ja-fi.com.sg,
BETTER IOT SOLUTIONS PTE. LTD.,2023,1 - 10,Pre-seed,Agritech; E-Commerce; Infocomm Tech; IoT; SaaS,Communication Systems; SaaS; E-Commerce; Precision Agriculture; Green Building Technology; Inventory Management; Facilities Management; Knowledge Management; Modules & Components; Eco Monitoring Technologies,https://better-iot.com.sg,
POSTCAP PTE. LTD.,2024,1 - 10,Pre-seed,E-Commerce; Food & Beverage,Sustainability; food waste,https://www.foodtoo.co,
TAVATAR TECHNOLOGY PTE. LTD.,2024,1 - 10,Pre-seed,Education; AI; SaaS,edu; EduTech; AI; SaaS; AI Employee,https://www.tavatar.ai,
PILOT & PILLAR CAPITAL PTE. LTD.,2019,1 - 10,Pre-seed,Fintech; Data Analysis; Big Data,Quant; Algo; Alpha; hedging; risk,https://www.pilQuant.com,
EVOKONNECT PTE. LTD.,2023,1 - 10,Pre-seed,Retail; AI; E-Commerce; Others; SaaS,"HR, E-commerce, AI,Human agents, Conversational AI, Image Enhancement",https://www.justping.ai/,
AUTOVERSE PTE. LTD.,2024,1 - 10,Pre-seed,Transport; Supply Chain & Logistics; Urban Solutions,SaaS; platform-as-a-service; crm; after-market garage services,http://autoverse.sg,
EDEN'S GROUND PTE. LTD.,2024,1 - 10,Pre-seed,Retail; E-Commerce; Events; Lifestyle,E-Commerce; Planning & Design; Floral Design; Flowers; gifts; wedding; workshop,https://www.edensground.com,
FLASHIN PTE. LTD.,2023,1 - 10,Pre-seed,Transport; AI; Supply Chain & Logistics; Others; Big Data,,http://www.iflashin.com,
IMFIT PTE. LTD.,2024,1 - 10,Pre-seed,AI; SaaS,SaaS; SEO; gtm,https://www.conceptmap.ai/,
POLAR COLD PTE. LTD.,2023,1 - 10,Pre-seed,Agritech; Food & Beverage; Supply Chain & Logistics; Cleantech,,http://www.Polar-cold.com,
ES5 PTE. LTD.,2023,1 - 10,Pre-seed,Retail; AI; Lifestyle; SaaS; Big Data,AI; beauty; Exercise; Diet; Fashion; agents; Optimization; Community Engagement; appearance,http://www.es5.co,
DEDOMENA PTE. LTD.,2018,1 - 10,Pre-seed,AI; Supply Chain & Logistics; Enterprise Solutions; SaaS; Cloud,#AI; #data; #mattermanagement; #legal; #Automation ; #accounting; #medicaldocument; #logistic; #invoices; #deliveryorder,https://www.dedomena.sg,
GREENCHAIN SOLUTIONS PTE. LTD.,2025,1 - 10,Pre-seed,Enterprise Solutions; Cleantech; SaaS; Big Data,Data Analysis,https://greenchain.space/,
SEARCH A VET PTE. LTD.,2024,1 - 10,Pre-seed,Medtech; Others; SaaS,,https://www.searchavet.com.sg,
WRKS GAMES PTE. LTD.,2024,11 - 50,Pre-seed,Gaming; AI; Entertainment,Gamification,https://www.wrks-games.com/,
YOPA.AI PTE. LTD.,2024,1 - 10,Pre-seed,Transport; AI; Enterprise Solutions; Urban Solutions; Lifestyle,"Ai, LLM, Safety, Efficiency, Simplicity, Community",https://yopa.ai,
FRONTIER AI PTE. LTD.,2024,1 - 10,Pre-seed,,,https://www.linkedin.com/company/getfrontier,
DATAYOO APPLICATION SINGAPORE PTE. LTD.,2024,,Pre-seed,,,https://farmispace.com/,based on internet checks
WU BROTHERS PTE. LTD.,2024,1 - 10,Pre-seed,Transport; E-Commerce; Food & Beverage; Events,Food Packaging,http://www.feeds.com.sg,
SOLOM PTE. LTD.,2025,1 - 10,Pre-seed,Agritech; Enterprise Solutions; SaaS; Data Analysis; Big Data,Biodiversity,https://solom.earth,
WINDEE PTE. LTD.,2024,1 - 10,Pre-seed,Urban Solutions; Cleantech,,https://www.windee.online/,
WONDERTABS PTE. LTD.,2020,11 - 50,Pre-seed,Medtech; E-Commerce; Infocomm Tech; Others; Cloud,Web Development; web design; branding; brand; website design; UI/UX; Graphic Design; website development; website; E-Commerce,https://wondertabs.com,
NO.1 LAUNDRY LAUNDRY PTE. LTD.,2025,1 - 10,Pre-seed,Lifestyle,Laundry Costume Mascots Anime Cosplay Convinient Easy Fun Stressfree,https://no1laundry.shop/,
GENIE PRO PTE. LTD.,2023,11 - 50,Pre-seed,Adtech; Education; Infotech; E-Commerce; Infocomm Tech,#VirtualAssistant ; #RemoteWork ; #AdminSupport ; #ProjectManagement ; #BusinessSupport ; #SalesOutreach ; #ClientSuccess ; #TalentMatching  ; #FreelanceEconomy; #workfromanywhere,https://www.geniepro.biz/,
A ABOUT PETS PTE. LTD.,2025,1 - 10,Pre-seed,Infocomm Tech; Lifestyle,Mobile PetCare; Application Development; Lifestyle; AI; PetCare Services,https://aaboutpets.com/,
VERMELLION PRIVATE LIMITED,2025,1 - 10,Pre-seed,Consumer Electronics; E-Commerce; Lifestyle,Consumer Electronics,http://vermellion.com/,
OCTANTIS INDUSTRIES PTE. LTD.,2025,1 - 10,Pre-seed,Aerospace; Precision Engineering; Maritime; Manufacturing & Engineering; Hardware,Machinery & Systems; Investing,https://www.octantis.industries,
QUURK PTE. LTD.,2024,1 - 10,Pre-seed,Education; Gaming; AI,,https://www.pastopia.io/,
MAXIGHT TECHNOLOGY PTE. LTD.,2024,11 - 50,Pre-seed,Medtech; Education; AI; Lifestyle; AR/VR,Eye-care; XR; Screen; Optical; Myopia Control,http://www.maxightvision.com,
SOTATEK ASIA PTE. LTD.,2025,1 - 10,Pre-seed,AI; Enterprise Solutions; Blockchain; Data Analysis; Big Data,AI enterprise solution; AI-chatbot; OpenAI; Data Analytics; Blockchain development; Smart Contract; eKYC; AI data centre; GPU renting; IT resourcing,http://www.sotatek.com,
HELLO ELLO PTE. LTD.,2025,1 - 10,Pre-seed,Consumer Electronics; AI; Healthcare; IoT,AI IOT Consumer Electronics Smart,https://www.helloello.co,
JELLYFISH STUDIOS PRIVATE LIMITED,2024,1 - 10,Pre-seed,Media; Entertainment; Lifestyle,,http://instagram.com/jellyfishstudiossg/,
ENPROSE PTE. LTD.,2024,1 - 10,Pre-seed,AI; Enterprise Solutions; Data Analysis; Big Data,Data Analysis; Big Data,https://www.enprose.ai,
UXQODE PTE. LTD.,2022,1 - 10,Pre-seed,Fintech; Enterprise Solutions,fund management; fund administration ; fund accounting ; investor portal; investor management,https://ux-qode.com,
ZOLO PTE. LTD.,2023,11 - 50,Pre-seed,AI; Food & Beverage; Enterprise Solutions; Supply Chain & Logistics; Food Manufacturing & Processing,#AI; #FoodIndustry; #Sustainability; #B2B; #saas,https://sayzolo.com,
SPORTS NETWORK PTE. LTD.,2023,1 - 10,Pre-seed,Adtech; E-Commerce; Lifestyle; Data Analysis,Where Winners Play,https://zone.com.sg/,
SMASHFI PTE. LTD.,2025,1 - 10,Pre-seed,Fintech; Blockchain,Crypto; Bitcoin; wealthmanagement; Investing; Saving; selfcustody; Personal Finance; autotrading,https://smashfi.me,
SPORE SIXTYFIVE PTE. LTD.,2016,,Pre-seed,,,,no webpage found
FLAIR TECHNOLOGIES PTE. LTD.,2016,,Pre-seed,,,https://home.flair.sg/,based on internet checks
VINO FONTAINE PTE. LTD.,2016,,Pre-seed,,,https://mysantus.com,based on internet checks
SKYDRONER PTE. LTD.,2017,,Pre-seed,,,http://www.skydroner.com/,based on internet checks
MOVING WALLS HOLDING PTE. LTD.,2017,,Pre-seed,,,https://www.movingwalls.com,based on internet checks
SILOT PTE. LTD.,2017,,Pre-seed,,,https://www.silot.ai,based on internet checks
FAST-LAP PTE. LTD.,2017,,Pre-seed,,,,
ECOLUTION AGRI-TECH PTE. LIMITED,2017,,Pre-seed,,,https://ecolution.asia,based on internet checks
NIMBUS ENTERPRISE PTE. LTD.,2017,,Pre-seed,,,https://www.nimbusfacility.com/,based on internet checks
PROXCURITY PTE. LTD.,2017,,Pre-seed,,,,
OPALAI PTE. LTD.,2017,,Pre-seed,,,,no webpage found
MDRIFT TECHNOLOGIES (S) PTE. LTD.,2017,,Pre-seed,,,https://mdrift.com/,based on internet checks
WORLD MODE SINGAPORE PTE. LTD.,2017,,Pre-seed,,,,
WINEXT CORP PTE. LTD.,2017,,Pre-seed,,,,
CARA PTE. LTD.,2017,,Pre-seed,,,,
DIGIFINEX PTE. LTD.,2017,,Pre-seed,,,https://www.digifinexsg.com/,based on internet checks
NEXUS ENTERPRISE TECHNOLOGIES PTE. LTD.,2017,,Pre-seed,,,,no webpage found
ICHX TECH PTE. LTD.,2017,,Pre-seed,,,,
ENGINEERING IN TRANSLATIONAL SCIENCE PTE. LTD.,2017,,Pre-seed,,,,no webpage found
SPECTER ONE PTE. LTD.,2017,,Pre-seed,,,,no webpage found
FINTRUX PTE. LTD.,2017,,Pre-seed,,,https://www.fintrux.com,based on internet checks
BLUEMEG HOLDINGS PTE. LTD.,2017,,Pre-seed,,,,
ANAPI PTE. LTD.,2018,,Pre-seed,,,https://anapi.co/,based on internet checks
WEBOT PTE. LTD.,2018,,Pre-seed,,,https://www.webot.com,based on internet checks
GCOX TECHNOLOGY PTE. LTD.,2018,,Pre-seed,,,,
HYDRAX PTE. LTD.,2018,,Pre-seed,,,,
EYEGAUGE PTE. LTD.,2022,1 - 10,Pre-seed,Maritime; AI; IoT; SaaS; Data Analysis,Seed; AI; smartship; Digitalization; maritimeinnovation; marinestartup; DeepTech,https://www.eye-gauge.com/,
KUHLMANN LAND PTE. LTD.,2022,,Pre-seed,,,,no webpage found
BAYESMETA PTE. LTD.,2022,,Pre-seed,,,,
TECHCLOUD PRIVATE LIMITED,2023,11 - 50,Pre-seed,Infotech; Fintech; Enterprise Solutions; IoT; Cloud,,https://techcloud.sg,
HASH CUBE PTE. LTD.,2023,1 - 10,Pre-seed,Infotech; Fintech; Blockchain,Personal Finance; Application Development; Systems Development,https://rampable.co/,
ENZYME CONSULTING PTE. LTD.,2023,1 - 10,Pre-seed,Food Science and Technology; Agritech; Biotech; Food & Beverage; Travel & Hospitality,Sustainability; Food Systems Transformation; Circular Economy; supply chain optimisation; Market Entry Strategy; Policy Advocacy; Business Advisory Services; Impact Measurement; Implementation Support; Nature-Positive Solutions,https://enzyme.consulting,
BEYOND BRAND PTE. LTD.,2022,,Pre-seed,,,,no webpage found
WISEASY TECHNOLOGY PTE. LTD.,2021,Above 200,Pre-seed,Retail; Fintech; IoT; Hardware,Payment Systems,https://www.wiseasy.com/,
PQCEE PTE. LTD.,2022,1 - 10,Pre-seed,IoT,,https://www.pqcee.com/,
HUB360+ PTE. LTD.,2022,1 - 10,Pre-seed,AI; IoT,Messaging; Ecosystem; Mini-Applications; AI; AR/VR; IoT; AIoT,https://www.hub360.plus,
Wind.App,2021,1 - 10,Pre-seed,Fintech; Blockchain; SaaS,"fintech, payments, remittance, defi, finance, polygon, blockchain",https://wind.app,
ECOMNOMY TRADING & SOLUTIONS PTE. LTD.,2023,1 - 10,Pre-seed,Media; Retail; E-Commerce; Supply Chain & Logistics; Lifestyle,#ecommerce #entrepreneurship #international branding #retail #Live commerce #business consultation #looking for investor #funding,https://www.ecomnomy.sg/,
PSILA TECH PTE. LTD.,2021,1 - 10,Pre-seed,Fintech; Blockchain,Personal Finance; Cryptocurrency,https://www.flippyfinance.com,
MOONER APP PRIVATE LIMITED,2020,1 - 10,Pre-seed,Lifestyle; Blockchain,gigeconomy; services app; mobileapp; income; selfemployed; everyday services; Ridehailing; homebasedbusiness; Community; socialenterprise,https://mooner.com.sg,
SILINK PTE. LTD.,2018,1 - 10,Pre-seed,E-Commerce; AI; Urban Solutions; Data Analysis,E-Commerce; Home & Living; Consumer & Marketing Analytics,https://www.helpering.com,
689CLOUD PTE. LTD.,2019,,Pre-seed,,,,
AMILO INTERNATIONAL PTE. LTD.,2022,,Pre-seed,,,,
ALT RESEARCH PTE. LTD.,2022,,Pre-seed,,,https://altlayer.io/,based on internet checks
ATATO PTE. LTD.,2020,,Pre-seed,,,https://www.atato.com/,based on internet checks
AVANT BIOTECHNOLOGY PTE. LTD.,2021,,Pre-seed,,,,
AXINAN PTE. LTD.,2016,,Pre-seed,,,https://iglooinsure.com/,based on internet checks
BLUE INCUBE PTE. LTD.,2017,,Pre-seed,,,https://www.blueincube.com,based on internet checks
BUD INTERACTIVE PTE. LTD.,2022,,Pre-seed,,,,no webpage found
COVERGO PTE. LTD.,2016,,Pre-seed,,,https://www.covergo.com/,based on internet checks
CRADLES N CRAYONS PTE. LTD.,2022,,Pre-seed,,,,
CT GLOBAL HOLDINGS PTE. LTD.,2019,,Pre-seed,,,https://ctglobal-holdings.com/,based on internet checks
DIGIMI PTE. LTD.,2018,,Pre-seed,,,,
FLOAT PRIVATE LIMITED,2020,,Pre-seed,,,https://www.floatfoods.com/,based on internet checks
ELYSIA PLATFORM PTE. LTD.,2019,,Pre-seed,,,,
ELFIE PTE. LTD.,2020,,Pre-seed,,,https://www.elfie.co/,based on internet checks
FOURIER INTELLIGENCE INTERNATIONAL PTE. LTD.,2018,,Pre-seed,,,https://www.fourierintelligence.com,based on internet checks
FREIGHTIFY TECHNOLOGIES PTE. LTD.,2022,,Pre-seed,,,,
GAZILLION MATHTECH PTE. LTD.,2021,,Pre-seed,,,https://www.koinbasket.com,based on internet checks
INCOMLEND HOLDING PTE. LTD.,2021,,Pre-seed,,,,
ILEX MARKETS APAC PTE. LTD.,2019,,Pre-seed,,,,
ICARE BENEFITS SEA HOLDINGS PTE. LTD.,2020,,Pre-seed,,,https://icarebenefits.asia/home_en,based on internet checks
INY FINANCIAL PTE. LTD.,2021,,Pre-seed,,,,
INNOWAVE TECH PTE. LTD.,2019,,Pre-seed,,,,
KUDOTEK PTE. LTD.,2019,,Pre-seed,,,http://kudotekcorp.com/,based on internet checks
LABLACO HOLDING PTE. LTD.,2020,,Pre-seed,,,,
MEDIALOAD PTE. LTD.,2016,,Pre-seed,,,https://mediaload.co/,based on internet checks
LUNARAY PTE. LTD.,2021,,Pre-seed,,,,
MEDHYVE PTE. LTD.,2021,,Pre-seed,,,,
MEDNEFITS HOLDINGS PTE. LTD.,2019,,Pre-seed,,,,
LUNCHBOX PTE. LTD.,2019,11 - 50,Pre-seed,Food & Beverage; Fintech; SaaS,Payment Systems; SaaS; Natural Language Processing; Big Data; Customer Relationship Management,https://www.lunchbox.asia,
MICROPORT MEDBOT (SINGAPORE) PTE. LTD.,2021,,Pre-seed,,,,
METAPALS PTE. LTD.,2022,11 - 50,Pre-seed,Gaming; AI; Entertainment; Blockchain,AI Companions; Virtual Pets; Browser Extension Game,https://www.kindredlabs.ai/,
MIGHTY BEAR GAMES PTE. LTD.,2016,,Pre-seed,,,https://www.mightybeargames.com/,based on internet checks
MINDSIGNS HEALTH PTE. LTD.,2020,,Pre-seed,,,,no webpage found
NODE REAL PTE. LTD.,2021,,Pre-seed,,,,
NUT CULTURE PTE. LTD.,2019,,Pre-seed,,,,
PARTIOR HOLDINGS PTE. LTD.,2023,,Pre-seed,,,https://partior.com,based on internet checks
PHARMINT PTE. LTD.,2022,11 - 50,Seed,Pharmaceutical,"pharma, b2b, crossborder, longtail, B2G, globalsouth",https://pharmint.net/,
RED DOT DRONE PTE. LTD.,2017,,Pre-seed,,,https://reddotdrone.com,based on internet checks
SEVEN SPRINGS CAPITAL PTE. LTD.,2019,,Pre-seed,,,,no webpage found
SIMPLYGOOD (PTE. LTD.),2021,,Pre-seed,,,,
SMART SHIP HUB PTE. LTD.,2019,,Pre-seed,,,https://smartshiphub.com/,based on internet checks
SMILE TECHNOLOGY PTE. LTD.,2021,,Pre-seed,,,,
TAN LEONG HUAT PTE. LTD.,2017,,Pre-seed,,,,
TAKI NETWORK PTE. LTD.,2022,,Pre-seed,,,,no webpage found
TOTALLYAWESOME SINGAPORE PTE. LTD.,2016,,Pre-seed,,,https://totallyawesome.tv,based on internet checks
TRAMPOLENE LIMITED,2016,,Pre-seed,,,https://trampolene.org,based on internet checks
TYME PTE. LTD.,2020,,Pre-seed,,,https://www.tyme.com/,based on internet checks
TRANSCEND LIMITOMICS PRIVATE LIMITED,2019,,Pre-seed,,,,
TTMFS SINGAPORE PTE. LTD.,2018,,Pre-seed,,,https://www.thunes.com,based on internet checks
VETRESKA FUTURE PET FOOD PTE. LTD.,2022,,Pre-seed,,,https://vetreskanyc.com/,based on internet checks
WILDTYPE TECHNOLOGIES PTE. LTD.,2019,,Pre-seed,,,,
YOUBOOKS EDTECH PTE. LTD.,2021,,Pre-seed,,,https://www.youbooks.co,based on internet checks
XGROUP GLOBAL PTE. LTD.,2021,,Pre-seed,,,,
NANRISE PTE. LTD.,2018,,Pre-seed,,,,
A.F.T. SEA PTE. LTD.,2019,,Pre-seed,,,,
TALMORE PTE. LTD.,2020,,Pre-seed,,,,
TIFFINLABS GROUP PTE. LTD.,2020,,Pre-seed,,,,no webpage found
XCELERATE PTE. LTD.,2021,,Pre-seed,,,https://xcelerateltd.com/,based on internet checks
DIGITAL COMMODITY EXCHANGE PTE. LTD.,2021,,Pre-seed,,,https://www.dcx.group/,based on internet checks
STARBOARD CORPORATE PTE. LTD.,2021,,Pre-seed,,,,
RAKKAR DIGITAL HOLDINGS PTE. LTD.,2022,,Pre-seed,,,,
YELLOW MARS MEDIA PTE. LTD.,2020,,Pre-seed,,,https://yellowmarsmedia.com,based on internet checks
CONFIRMU PTE. LTD.,2018,,Pre-seed,,,https://www.confirmu.com/,based on internet checks
COLOSO PTE. LTD.,2018,,Pre-seed,,,,
AIR DIGITAL SOLUTIONS PTE. LTD.,2018,,Pre-seed,,,https://www.airdigital-solutions.com,based on internet checks
BERRIBOT PTE. LTD.,2019,,Pre-seed,,,https://www.berribot.com,based on internet checks
PIPELINE PTE. LTD.,2019,,Pre-seed,,,,no webpage found
ARKSOFT (SG) PTE. LTD.,2019,,Pre-seed,,,https://arksoftsg.com/,based on internet checks
ADVANCA PTE. LTD.,2019,,Pre-seed,,,,
SPOONS.AI PTE. LTD.,2019,,Pre-seed,,,https://www.spoons.ai/,based on internet checks
BYTESE PTE. LTD.,2019,,Pre-seed,,,https://bytese.io/,based on internet checks
AMPHIBYTE TECHNOLOGIES PTE. LTD.,2019,,Pre-seed,,,https://www.amphibyte.com/,based on internet checks
CRAWLESS PTE. LTD.,2019,,Pre-seed,,,https://www.crawless.com/,based on internet checks
ADECORE GLOBAL PTE. LTD.,2019,,Pre-seed,,,https://www.adecore.tech,based on internet checks
PERSISTENCE TECHNOLOGIES PTE. LTD.,2019,,Pre-seed,,,,
NUTY FOOD TECHNOLOGIES PTE. LTD.,2020,,Pre-seed,,,,
STETIG PTE. LTD.,2019,,Pre-seed,,,,no webpage found
ZAPPZ PTE. LTD.,2020,,Pre-seed,,,,
CONNECTED TECH PTE. LTD.,2019,,Pre-seed,,,,
HELLOHOLO PTE. LTD.,2020,,Pre-seed,,,https://helloholo.sg/,based on internet checks
SMARTLAW PTE. LTD.,2020,,Pre-seed,,,https://www.smartlaw.com.sg/,based on internet checks
HIZEN PTE. LTD.,2020,,Pre-seed,,,,no webpage found
ACXTRON PTE. LTD.,2020,,Pre-seed,,,https://www.acxtron.com/,based on internet checks
GOOD VALUE ASIA PRIVATE LIMITED,2020,,Pre-seed,,,,no webpage found
SNOWW BOOKS PTE. LTD.,2021,,Pre-seed,,,,
ALLY LOGISTICS INTEGRATORS PTE. LTD.,2021,,Pre-seed,,,https://www.luwjistik.com,based on internet checks
BUNKER TECHNOLOGIES PTE. LTD.,2021,,Pre-seed,,,,
YUNOMETA PTE. LTD.,2021,,Pre-seed,,,,
ASCEND NOW PTE. LTD.,2018,,Pre-seed,,,https://www.ascendnow.org,based on internet checks
CULTIVATE PEOPLE PTE. LTD.,2021,,Pre-seed,,,,
AI LEARNING LAB PTE. LTD.,2020,,Pre-seed,,,,no webpage found
PANDA CENTURY 360 EDUCATION PTE. LTD.,2022,,Pre-seed,,,,
HOLDBUILD PTE. LTD.,2018,,Pre-seed,,,,
UDIFY EDUCATION HOLDINGS PTE. LTD.,2018,,Pre-seed,,,,
CARMINE THERAPEUTICS HOLDINGS PTE. LTD.,2019,,Pre-seed,,,,
SINGAPORE LIFE HOLDINGS PTE. LTD.,2020,,Pre-seed,,,https://www.singlife.com,based on internet checks
ALDIGI HOLDINGS PTE. LTD.,2021,,Pre-seed,,,https://www.aldigi.co/,based on internet checks
DETRACK HOLDCO PTE. LTD.,2021,,Pre-seed,,,https://www.detrack.com/,based on internet checks
FRAXTOR GROUP PRIVATE LIMITED,2022,,Pre-seed,,,,
COPROCURE PTE. LTD.,2019,,Pre-seed,,,https://www.coprocure.com/,based on internet checks
CASHCHANGER PTE. LTD.,2019,,Pre-seed,,,,
TWELVE DATA PTE. LTD.,2020,,Pre-seed,,,,
PROXTERA PTE. LTD.,2020,,Seed,,,https://www.proxtera.com,
COSMOS INNOVATION PTE. LTD.,2019,,Pre-seed,,,,no webpage found
MIPS INNOVATIONS PTE. LTD.,2018,,Pre-seed,,,,
